ID;H9_RPM;FB_RPM
hsa-miR-200b-3p;246,3;6,64
hsa-miR-200a-3p;31,11;1,52
hsa-miR-361-5p;305,95;424,28
hsa-miR-1271-5p;33,21;64,33
hsa-miR-99a-5p;1,72;1485,87
hsa-miR-141-3p;695,01;11,89
hsa-miR-124-3p;39,61;1928,56
hsa-miR-1260a;537,05;381,33
hsa-miR-365a-3p;58,09;16
hsa-miR-365b-3p;58,09;16
hsa-miR-1260b;670,84;415,43
hsa-miR-125b-5p;73,37;5249,57
hsa-miR-200c-3p;711,31;7,27
hsa-miR-141-5p;139,72;0,63
hsa-miR-505-3p;132,31;266,47
hsa-miR-34c-5p;387,58;172,29
hsa-miR-27a-3p;324,9;93,93
hsa-miR-153-3p;3,82;1924,32
hsa-miR-1179;1,79;144,34
hsa-miR-23a-3p;106,19;45,48
hsa-miR-488-3p;4,29;222,45
hsa-miR-133a-3p;116,33;19,99
hsa-miR-205-5p;2834,71;10,75
hsa-miR-193b-3p;207,01;67,99
hsa-miR-34a-5p;236,25;155,53
hsa-miR-7977;115,16;54,46
hsa-miR-138-5p;183,23;879,68
hsa-miR-561-5p;2156,85;146,68
hsa-miR-137;0,62;130,99
hsa-miR-24-3p;87,17;108,92
hsa-miR-146a-5p;67,29;4,74
hsa-miR-518f-3p;70,56;0
hsa-miR-218-5p;31,81;480,13
hsa-miR-7-5p;43,43;753,62
hsa-miR-126-3p;77,73;43,58
hsa-miR-152-3p;8,19;37,51
hsa-miR-126-5p;793,8;340,85
hsa-miR-361-3p;76,49;105,44
hsa-miR-1303;102,3;1,96
hsa-miR-371a-5p;311,49;5,44
hsa-miR-28-5p;589,6;290,13
hsa-miR-9-3p;9,75;894,99
hsa-miR-190a-5p;70,87;74,38
hsa-miR-367-3p;2469,35;1,9
hsa-miR-135a-5p;92,78;750,21
hsa-miR-181c-5p;142,45;3383,18
hsa-miR-129-5p;43,82;448,38
hsa-miR-15b-5p;610,89;652,3
hsa-miR-335-5p;175,35;1146,34
hsa-miR-411-5p;2,26;162,74
hsa-miR-302e;136,91;0,19
hsa-miR-30b-5p;388,75;1243,62
hsa-miR-372-3p;267,51;6,45
hsa-miR-342-3p;153,52;826,74
hsa-miR-151b;163,34;138,71
hsa-miR-425-5p;739,61;611,69
hsa-miR-302b-5p;294,33;0,13
hsa-miR-130a-3p;3486,92;3447,57
hsa-miR-520g-3p;122,33;0,13
hsa-miR-302b-3p;42213,56;50,73
hsa-miR-296-3p;109,55;23,15
hsa-miR-874-3p;217,53;50,98
hsa-miR-22-3p;11563,4;6049,05
hsa-miR-302d-5p;591,55;0,38
hsa-miR-302c-3p;22394,36;9,8
hsa-miR-374a-5p;260,26;288,67
hsa-miR-197-3p;335,66;633,32
hsa-miR-373-3p;213,32;5,63
hsa-miR-302a-5p;47559,1;20,75
hsa-miR-520c-3p;202,17;0,13
hsa-miR-125b-1-3p;21,13;824,28
hsa-miR-302c-5p;2640,65;1,14
hsa-miR-374b-5p;129,9;214,29
hsa-miR-339-3p;105,49;270,08
hsa-miR-520a-5p;128,96;0,06
hsa-miR-1251-5p;18,32;313,28
hsa-miR-335-3p;2773,9;1798,33
hsa-miR-23b-3p;109,78;258,44
hsa-miR-518b;260,42;0,44
hsa-miR-16-5p;6444,43;11772,93
hsa-let-7a-5p;515,69;3811,13
hsa-miR-181c-3p;109,08;1237,68
hsa-miR-425-3p;68,14;37,76
hsa-miR-92b-5p;76,18;51,55
hsa-miR-181a-5p;3506,26;77558,51
hsa-miR-381-3p;1,72;97,53
hsa-miR-486-5p;4855,82;3111,21
hsa-miR-125b-2-3p;4,52;1122,44
hsa-miR-574-5p;117,03;26,88
hsa-miR-652-3p;105,57;308,72
hsa-miR-127-3p;10,92;395,44
hsa-miR-98-5p;1,64;332,95
hsa-miR-96-5p;49,9;4,93
hsa-miR-302a-3p;32631,35;24,16
hsa-miR-181d-5p;97,85;957,42
hsa-miR-210-3p;116,56;297,15
hsa-miR-151a-5p;4529,68;3873,43
hsa-miR-129-2-3p;18,24;132,64
hsa-miR-26b-5p;1066,38;2922,98
hsa-miR-181b-5p;955,12;8790,12
hsa-miR-520a-3p;97,54;0,25
hsa-miR-128-3p;742,81;1996,87
hsa-miR-132-3p;11,54;326,75
hsa-miR-302d-3p;37919,27;22,83
hsa-miR-181a-2-3p;387,04;2824,56
hsa-miR-26a-5p;19725,33;27831,68
hsa-miR-149-5p;244,43;1893,39
hsa-miR-582-3p;5,69;193,29
hsa-miR-518a-3p;98,24;0,06
hsa-miR-106b-5p;621,88;882,78
hsa-miR-449b-5p;0,31;36,69
hsa-miR-31-5p;1059,91;12,65
hsa-miR-331-3p;543,13;1083,85
hsa-miR-105-5p;10,06;178,43
hsa-miR-184;25,18;16,95
hsa-miR-484;779,38;1152,86
hsa-miR-589-5p;538,76;124,54
hsa-miR-526b-5p;198,51;0,13
hsa-miR-654-3p;1,48;136,81
hsa-miR-217;0;330,17
hsa-miR-221-3p;3074,23;1422,94
hsa-miR-15a-5p;110,33;520,3
hsa-miR-520f-3p;531,51;0,32
hsa-miR-518e-5p;94,97;0
hsa-miR-519b-5p;95,12;0
hsa-miR-519c-5p;95,12;0
hsa-miR-522-5p;95,12;0
hsa-miR-523-5p;95,12;0
hsa-miR-592;9,67;138,9
hsa-miR-92a-1-5p;81,24;14,67
hsa-miR-517a-3p;175,04;0,13
hsa-miR-517b-3p;175,04;0,13
hsa-miR-100-5p;116,64;1374,36
hsa-miR-501-3p;133,72;326,37
hsa-miR-1307-3p;385,4;144,91
hsa-miR-1296-5p;122,1;329,28
hsa-miR-204-5p;995,43;10152,52
hsa-miR-29c-3p;19,34;86,27
hsa-miR-519a-5p;89,51;0,06
hsa-miR-1246;7,95;100,25
hsa-miR-345-5p;853,76;2236,65
hsa-miR-449a;0,47;166,41
hsa-miR-92b-3p;48442,73;57644,22
hsa-miR-1307-5p;2247,84;983,16
hsa-miR-653-5p;183,93;60,02
hsa-miR-625-5p;17,39;30,8
hsa-miR-873-3p;128,73;192,66
hsa-miR-221-5p;199,68;59,64
hsa-miR-130b-3p;1609,67;2647,52
hsa-miR-199b-3p;49,04;22,45
hsa-miR-199a-3p;49,35;22,45
hsa-miR-767-5p;64,79;639,4
hsa-miR-18a-5p;978,82;487,72
hsa-miR-615-3p;0;0,82
hsa-miR-20a-5p;4853,56;2438,29
hsa-miR-744-5p;464,38;436,55
hsa-miR-216a-3p;0,08;165,72
hsa-let-7d-5p;2,26;120,93
hsa-miR-17-5p;4473,54;2241,52
hsa-miR-421;1984,54;2074,98
hsa-miR-148b-3p;1569,59;2459,99
hsa-miR-1180-3p;257,61;440,98
hsa-miR-135a-3p;1,79;111,32
hsa-miR-3663-3p;0,47;1,08
hsa-miR-135b-5p;109,55;271,85
hsa-miR-1304-3p;289,5;21,38
hsa-miR-873-5p;100,89;267,11
hsa-miR-30c-5p;3395,23;4108,03
hsa-miR-30a-3p;236,64;474,5
hsa-miR-512-3p;1986,18;2,97
hsa-miR-10b-5p;117,34;516,69
hsa-miR-1911-5p;21,13;38,71
hsa-miR-409-3p;1,09;65,97
hsa-miR-130b-5p;250,2;432,5
hsa-miR-449c-5p;1,48;296,64
hsa-miR-15b-3p;173,17;99,37
hsa-miR-378c;103,93;16
hsa-miR-708-5p;69,63;473,24
hsa-miR-27b-3p;3415,19;7142,26
hsa-miR-30d-3p;83,35;166,16
hsa-miR-520d-5p;130,05;0,13
hsa-miR-191-5p;28248,8;18939,29
hsa-miR-577;432,73;134,03
hsa-miR-25-5p;78,98;23,28
hsa-miR-10a-3p;0;2,34
hsa-miR-216a-5p;0,16;186,59
hsa-miR-219a-5p;0,31;94,24
hsa-miR-518c-3p;235,31;0,19
hsa-miR-146b-5p;134,42;232,51
hsa-miR-222-3p;8677,85;1853,8
hsa-miR-30d-5p;5536,25;12235,22
hsa-miR-320a;1079,24;2008,51
hsa-miR-30e-5p;12232,22;12474,69
hsa-miR-17-3p;256,05;118,91
hsa-miR-378a-3p;7194,18;794,86
hsa-miR-941;1136,79;908,02
hsa-miR-29a-3p;254,65;48,7
hsa-miR-99b-5p;2486,35;11058,33
hsa-miR-21-3p;3073,45;199,3
hsa-miR-151a-3p;11554,35;9928,81
hsa-miR-330-5p;176,37;106,26
hsa-miR-374b-3p;89,9;58,7
hsa-miR-320b;35,16;117,65
hsa-miR-340-5p;2425,84;13292,95
hsa-miR-30e-3p;786,63;814,22
hsa-miR-1247-3p;0,55;50,47
hsa-miR-584-5p;19,26;38,27
hsa-miR-186-5p;8031,33;5332,17
hsa-miR-3200-3p;44,99;167,74
hsa-let-7c-5p;0,39;3199,13
hsa-miR-28-3p;11715,52;3494,12
hsa-miR-128-1-5p;77,03;63,57
hsa-miR-375;38,75;41,87
hsa-miR-216b-5p;0,08;557,23
hsa-miR-30c-1-3p;77,89;45,22
hsa-miR-516a-5p;132,78;0,89
hsa-miR-148a-5p;1211,01;39,85
hsa-miR-340-3p;54,34;198,1
hsa-miR-125a-5p;1101,7;5616,48
hsa-miR-1269a;1,72;166,6
hsa-miR-548k;199,52;70,4
hsa-miR-148b-5p;130,21;201,01
hsa-miR-769-5p;3348,06;4669,06
hsa-miR-187-3p;318,81;8,98
hsa-miR-18a-3p;186,19;45,03
hsa-miR-887-3p;173,48;287,53
hsa-miR-19a-3p;359,12;320,3
hsa-miR-1323;248,17;0,06
hsa-miR-103a-3p;8793,17;13516,54
hsa-miR-183-5p;3050,22;259,64
hsa-miR-106b-3p;315,85;237,12
hsa-miR-192-5p;1729,27;2107,81
hsa-miR-21-5p;36916,75;3391,03
hsa-miR-10b-3p;0,16;0,32
hsa-miR-454-3p;580,71;1067,35
hsa-miR-93-3p;110,17;78,05
hsa-miR-374a-3p;1170;819,78
hsa-miR-143-3p;734,78;110,18
hsa-miR-30a-5p;7171,57;15334,03
hsa-miR-140-3p;1258,34;1657,97
hsa-miR-107;778,13;2470,36
hsa-miR-500a-3p;532,37;1301,94
hsa-miR-339-5p;24,09;84,94
hsa-miR-25-3p;10749,64;10191,55
hsa-miR-671-3p;142,99;71,66
hsa-miR-935;35,16;47,37
hsa-miR-504-5p;78,28;269
hsa-let-7g-5p;11,31;1665,69
hsa-miR-589-3p;294,72;19,23
hsa-miR-548f-3p;1491,47;9,17
hsa-miR-519c-3p;540,79;0,25
hsa-miR-10a-5p;21,21;2252,21
hsa-miR-135b-3p;28,07;34,41
hsa-miR-19b-3p;1073,94;903,08
hsa-miR-155-5p;137,93;2,47
hsa-miR-93-5p;5219,7;5758,48
hsa-miR-99b-3p;69,08;167,42
hsa-miR-670-3p;5,38;349,01
hsa-miR-1264;15,91;8,29
hsa-let-7i-5p;4,6;951,85
hsa-miR-148a-3p;50486,05;3083,95
hsa-miR-660-5p;245,06;515,99
hsa-miR-516b-5p;459;0,19
hsa-miR-423-5p;1396,27;788,92
hsa-miR-532-5p;378,93;627,95
hsa-miR-423-3p;2883,6;1794,21
hsa-miR-455-5p;171,77;48,51
hsa-miR-101-3p;4892,39;5221,74
hsa-miR-2467-5p;153,52;144,59
hsa-let-7e-5p;18,71;2392,37
hsa-miR-877-5p;170,13;115,05
hsa-miR-424-5p;157,19;15,94
hsa-miR-3615;26,28;75,52
hsa-miR-136-3p;1,33;27,39
hsa-miR-92a-3p;141284,71;46579,32
hsa-miR-891a-5p;0,62;86,21
hsa-miR-889-3p;0,94;57,75
hsa-miR-1468-5p;23,39;84,57
hsa-miR-410-3p;3,66;187,85
hsa-miR-301b;934,14;6113,69
hsa-miR-182-5p;23028,32;2027,92
hsa-miR-1247-5p;0,86;152,94
hsa-miR-1298-3p;31,81;48,58
hsa-miR-515-5p;948,65;0,32
hsa-miR-1269b;2,42;235,42
hsa-miR-9-5p;329,5;66941,86
hsa-miR-1283;187,83;0,57
hsa-miR-7706;114,61;347,43
hsa-miR-448;152,04;108,22
hsa-miR-598-3p;187,36;529,15
hsa-let-7f-5p;38,52;2083,33
hsa-miR-181a-3p;26,9;1067,85
hsa-miR-1298-5p;1083,22;1010,48
hsa-miR-548ah-3p;48,65;73,94
hsa-miR-548p;46,86;71,79
hsa-miR-18b-5p;296,98;140,16
hsa-miR-219a-1-3p;2,18;276,21
hsa-miR-708-3p;103,15;707,01
hsa-miR-301a-3p;2640,57;9571,13
hsa-miR-106a-5p;1357,13;343,45
hsa-miR-20b-5p;3240,31;894,17
hsa-miR-4454;164,12;106,45
hsa-miR-7974;504,61;16,26
hsa-miR-450b-5p;173,09;38,71
hsa-miR-363-3p;7338,42;4245,47
hsa-miR-219a-2-3p;1,95;55,15